#{"t_start": 1745912330.7542574, "env_id": "None"}
r,l,t
-5.0,5,0.010953
-14.0,14,0.020026
-8.0,8,0.024996
-9.0,9,0.030521
-5.0,5,0.033813
-7.0,7,0.037954
-12.0,12,0.045262
-20.0,20,0.056382
-3.0,3,0.058357
-14.0,14,0.067073
-4.0,4,0.069967
-4.0,4,0.072676
-6.0,6,0.076538
-4.0,4,0.07932
-2.0,2,0.080898
-10.0,10,0.087036
-7.0,7,0.091237
-3.0,3,0.093191
-6.0,6,0.097044
-4.0,4,0.099641
-2.0,2,0.101181
-2.0,2,0.102735
-9.0,9,0.108515
-5.0,5,0.111858
-2.0,2,0.113397
-5.0,5,0.116777
-3.0,3,0.118815
-3.0,3,0.12075
-2.0,2,0.122316
-4.0,4,0.124794
-6.0,6,0.128622
-2.0,2,0.130154
-4.0,4,0.132823
-8.0,8,0.137767
-2.0,2,0.13935
-11.0,11,0.145562
-3.0,3,0.147685
-16.0,16,0.1583
-3.0,3,0.160425
-4.0,4,0.163192
-10.0,10,0.169271
-5.0,5,0.172313
-7.0,7,0.176666
-3.0,3,0.178753
-5.0,5,0.181983
-3.0,3,0.183937
-9.0,9,0.189038
-5.0,5,0.192291
-3.0,3,0.194385
-19.0,19,0.205581
-21.0,21,0.217841
-4.0,4,0.220531
-18.0,18,0.230366
-51.0,51,0.257392
-11.0,11,0.264265
-18.0,18,0.274127
-2.0,2,0.275564
-3.0,3,0.278878
-2.0,2,0.280422
-20.0,20,0.291334
-6.0,6,0.295258
-4.0,4,0.297907
-5.0,5,0.300913
-3.0,3,0.302871
-3.0,3,0.305013
-4.0,4,0.307519
-3.0,3,0.309676
-18.0,18,0.320221
-5.0,5,0.323457
-4.0,4,0.326089
-3.0,3,0.328106
-7.0,7,0.332479
-3.0,3,0.334567
-10.0,10,0.340635
-2.0,2,0.342053
-7.0,7,0.346388
-2.0,2,0.347919
-4.0,4,0.350566
-3.0,3,0.352655
-11.0,11,0.359364
-2.0,2,0.360879
-4.0,4,0.363555
-5.0,5,0.366616
-2.0,2,0.368155
-3.0,3,0.370255
-8.0,8,0.37526
-3.0,3,0.37733
-3.0,3,0.379466
-5.0,5,0.382749
-2.0,2,0.384228
-4.0,4,0.386899
-12.0,12,0.394103
-2.0,2,0.395646
-3.0,3,0.397604
-2.0,2,0.399153
-2.0,2,0.400665
-9.0,9,0.407022
-3.0,3,0.40916
-4.0,4,0.411863
-12.0,12,0.419139
-7.0,7,0.423533
-7.0,7,0.427956
-8.0,8,0.432971
-5.0,5,0.436276
-11.0,11,0.44289
-4.0,4,0.4456
-6.0,6,0.449385
-2.0,2,0.450994
-7.0,7,0.455348
-2.0,2,0.456998
-4.0,4,0.45975
-13.0,13,0.467524
-2.0,2,0.469037
-5.0,5,0.472338
-4.0,4,0.474829
-2.0,2,0.476344
-19.0,19,0.487469
-3.0,3,0.489557
-19.0,19,0.500773
-15.0,15,0.509252
-3.0,3,0.511404
-2.0,2,0.512937
-2.0,2,0.514394
-10.0,10,0.520555
-4.0,4,0.523268
-2.0,2,0.524785
-36.0,36,0.545616
-11.0,11,0.55234
-7.0,7,0.556445
-2.0,2,0.558641
-4.0,4,0.561579
-19.0,19,0.573335
-3.0,3,0.575385
-3.0,3,0.577321
-2.0,2,0.57888
-2.0,2,0.58048
-12.0,12,0.587733
-3.0,3,0.589748
-19.0,19,0.600128
-8.0,8,0.604717
-2.0,2,0.606348
-3.0,3,0.608313
-2.0,2,0.609854
-4.0,4,0.612534
-3.0,3,0.614487
-6.0,6,0.618025
-5.0,5,0.621021
-11.0,11,0.627206
-7.0,7,0.631323
-6.0,6,0.635581
-2.0,2,0.636998
-5.0,5,0.640324
-2.0,2,0.641864
-3.0,3,0.644001
-4.0,4,0.646669
-4.0,4,0.649333
-2.0,2,0.650767
-2.0,2,0.652299
-9.0,9,0.657854
-24.0,24,0.672072
-3.0,3,0.674102
-4.0,4,0.676898
-9.0,9,0.682531
-8.0,8,0.687169
-5.0,5,0.690188
-5.0,5,0.693435
-6.0,6,0.696985
-2.0,2,0.698526
-16.0,16,0.708119
-10.0,10,0.713775
-5.0,5,0.71703
-6.0,6,0.720849
-2.0,2,0.722274
-3.0,3,0.724762
-6.0,6,0.728628
-5.0,5,0.731698
-4.0,4,0.734388
-2.0,2,0.735924
-11.0,11,0.742747
-8.0,8,0.747697
-2.0,2,0.74911
-5.0,5,0.752215
-3.0,3,0.754339
-2.0,2,0.755832
-8.0,8,0.76042
-2.0,2,0.761962
-22.0,22,0.774062
-3.0,3,0.776209
-2.0,2,0.777751
-3.0,3,0.779868
-11.0,11,0.787139
-11.0,11,0.793326
-4.0,4,0.796041
-2.0,2,0.797582
-6.0,6,0.801243
-5.0,5,0.804593
-4.0,4,0.807303
-54.0,54,0.836229
-4.0,4,0.83897
-3.0,3,0.841072
-3.0,3,0.84313
-5.0,5,0.846876
-2.0,2,0.848416
-3.0,3,0.850659
-4.0,4,0.853138
-8.0,8,0.858118
-3.0,3,0.86015
-9.0,9,0.865266
-4.0,4,0.868013
-17.0,17,0.878248
-14.0,14,0.886602
-2.0,2,0.888144
-5.0,5,0.891246
-20.0,20,0.903025
-6.0,6,0.906572
-8.0,8,0.911631
-2.0,2,0.913046
-17.0,17,0.922377
-2.0,2,0.923931
-3.0,3,0.92588
-10.0,10,0.931978
-18.0,18,0.941827
-3.0,3,0.943779
-5.0,5,0.946847
-8.0,8,0.951658
-2.0,2,0.953192
-5.0,5,0.956285
-9.0,9,0.961826
-5.0,5,0.964866
-7.0,7,0.96936
-3.0,3,0.971504
-2.0,2,0.973028
-11.0,11,0.979714
-3.0,3,0.98288
-10.0,10,0.989009
-2.0,2,0.990449
-2.0,2,0.992
-2.0,2,0.993411
-3.0,3,0.995598
-14.0,14,1.003981
-2.0,2,1.005398
-2.0,2,1.006832
-7.0,7,1.011245
-11.0,11,1.018093
-3.0,3,1.020252
-22.0,22,1.033131
-10.0,10,1.039248
-2.0,2,1.040771
-17.0,17,1.05102
-7.0,7,1.055194
-8.0,8,1.060209
-10.0,10,1.066337
-13.0,13,1.074003
-4.0,4,1.076763
-3.0,3,1.078724
-3.0,3,1.080841
-5.0,5,1.084113
-3.0,3,1.086237
-7.0,7,1.090634
-2.0,2,1.092186
-23.0,23,1.105725
-3.0,3,1.107699
-11.0,12,1.116359
-18.0,18,1.127033
-14.0,14,1.135378
-12.0,12,1.142064
-10.0,10,1.14817
-4.0,4,1.150853
-7.0,7,1.156666
-27.0,27,1.171804
-3.0,3,1.173937
-5.0,5,1.177182
-13.0,13,1.185003
-2.0,2,1.186561
-5.0,5,1.189599
-2.0,2,1.191038
-3.0,3,1.193136
-2.0,2,1.194671
-9.0,9,1.200304
-2.0,2,1.201854
-6.0,6,1.20568
-3.0,3,1.207798
-6.0,6,1.211612
-2.0,2,1.213135
-2.0,2,1.214668
-8.0,8,1.219294
-8.0,8,1.223938
-17.0,17,1.234038
-6.0,6,1.237607
-4.0,4,1.24036
-4.0,4,1.243058
-7.0,7,1.247427
-27.0,27,1.263819
-3.0,3,1.265927
-2.0,2,1.267526
-4.0,4,1.270181
-5.0,5,1.273479
-5.0,5,1.276503
-2.0,2,1.277981
-5.0,5,1.281275
-5.0,5,2.135969
-2.0,2,2.138048
-3.0,3,2.140313
-2.0,2,2.141973
-6.0,6,2.145779
-6.0,6,2.149565
-3.0,3,2.151664
-3.0,3,2.153694
-2.0,2,2.155232
-7.0,7,2.159443
-10.0,10,2.165175
-5.0,5,2.168207
-21.0,21,2.180911
-3.0,3,2.183034
-3.0,3,2.185121
-5.0,5,2.188385
-6.0,6,2.191973
-10.0,10,2.198088
-6.0,6,2.20205
-4.0,4,2.205791
-4.0,4,2.208502
-5.0,5,2.211803
-5.0,5,2.215124
-7.0,7,2.219511
-2.0,2,2.221031
-10.0,10,2.227132
-3.0,3,2.229208
-3.0,3,2.231393
-2.0,2,2.232966
-5.0,5,2.236753
-4.0,4,2.239502
-2.0,2,2.241093
-4.0,4,2.243798
-3.0,3,2.245896
-2.0,2,2.247433
-7.0,7,2.25186
-2.0,2,2.253427
-3.0,3,2.255415
-4.0,4,2.258082
-2.0,2,2.259673
-2.0,2,2.261233
-2.0,2,2.262659
-13.0,13,2.27043
-2.0,2,2.271924
-4.0,4,2.274699
-3.0,3,2.276813
-3.0,3,2.278879
-2.0,2,2.280462
-3.0,3,2.282574
-2.0,2,2.284117
-4.0,4,2.286941
-4.0,4,2.289419
-7.0,7,2.293879
-17.0,17,2.304256
-2.0,2,2.305738
-2.0,2,2.307286
-4.0,4,2.309765
-3.0,3,2.311873
